小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
梅花山庄中沁苑,秦淮,328,37911元/平米,2室2厅1厨1卫,中楼层 (共8层),86.52㎡,平层,76.91㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/1/8,商品房,2004/5/1,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
盛景华庭北苑,浦口,265,21965元/平米,3室2厅1厨2卫,中楼层 (共11层),120.65㎡,暂无数据,103.52㎡,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2018/3/19,房改房,2013/8/9,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
蓝岸3G,雨花台,56,15950元/平米,1室0厅1厨1卫,中楼层 (共9层),35.11㎡,平层,暂无数据,板楼,北,钢混结构,精装,两梯三十七户,有,40年,2017/12/30,商品房,2017/12/15,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
建设新村,鼓楼,385,48204元/平米,3室1厅1厨1卫,高楼层 (共6层),79.87㎡,暂无数据,68.78㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017/12/1,房改房,1990/6/5,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
凤凰街4号,鼓楼,240,39069元/平米,2室1厅1厨1卫,低楼层 (共7层),61.43㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,一梯两户,暂无数据,70年,2016/12/24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                暂无数据
                              ",未上传房本照片,,,
明发滨江新城二期,浦口,265,22045元/平米,3室2厅1厨2卫,低楼层 (共10层),120.21㎡,平层,103.84㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/5/24,商品房,2012/3/2,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
江佑铂庭,浦口,270,29089元/平米,2室2厅1厨1卫,低楼层 (共18层),92.82㎡,暂无数据,75.87㎡,板楼,南 北,钢混结构,其他,两梯三户,有,70年,2017/7/13,商品房,2013/7/18,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
阳光锦绣阁,鼓楼,430,30680元/平米,3室1厅1厨2卫,高楼层 (共21层),140.16㎡,暂无数据,128.81㎡,塔楼,东南,钢混结构,简装,两梯六户,有,70年,2017/6/11,商品房,2017/6/2,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
营苑东村,玄武,100,24631元/平米,1室1厅1厨1卫,高楼层 (共6层),40.6㎡,暂无数据,35.5㎡,板塔结合,南,砖混结构,其他,一梯三户,暂无数据,70年,2017/6/17,商品房,2013/12/3,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
仙林新村北区,栖霞,130,33908元/平米,1室1厅1厨1卫,中楼层 (共6层),38.34㎡,平层,33.25㎡,板楼,南,砖混结构,简装,一梯三户,暂无数据,70年,2018/2/24,商品房,2016/3/29,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,
水月秦淮,江宁,355,26167元/平米,3室2厅1厨2卫,低楼层 (共19层),135.67㎡,平层,109.96㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,70年,2017/12/29,商品房,2015/5/21,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,
名城世家花园,雨花台,295,34920元/平米,2室2厅1厨1卫,高楼层 (共18层),84.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2018/3/14,商品房,2015/5/6,普通住宅,满两年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片,,,
保利梧桐语花园,江宁,235,27031元/平米,3室2厅1厨1卫,高楼层 (共18层),86.94㎡,平层,71.05㎡,板楼,南,钢混结构,其他,两梯四户,有,70年,2017/10/23,商品房,2014/10/21,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
仁恒翠竹园,雨花台,489,41329元/平米,3室2厅1厨2卫,低楼层 (共11层),118.32㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/11/15,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
铭人丽岛,浦口,208,21271元/平米,3室2厅1厨1卫,中楼层 (共11层),97.79㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/1/10,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
旭日爱上城第四区北区,浦口,200,25814元/平米,2室2厅1厨1卫,低楼层 (共18层),77.48㎡,平层,63.98㎡,板楼,南,钢混结构,其他,两梯六户,有,70年,2018/1/12,商品房,2014/5/21,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
地和苑,浦口,260,21086元/平米,3室2厅1厨1卫,高楼层 (共11层),123.31㎡,暂无数据,111.81㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/4/22,商品房,2006/6/16,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
德基紫金南苑,玄武,575,35010元/平米,3室2厅1厨2卫,高楼层 (共6层),164.24㎡,跃层,139.46㎡,板楼,南 东北,钢混结构,精装,一梯两户,暂无数据,70年,2017/12/16,商品房,2016/8/9,普通住宅,未满两年,非共有,"
                                有抵押 290万元 建设银行
                              ",已上传房本照片,,,
百合果园,鼓楼,392,64179元/平米,2室2厅1厨1卫,低楼层 (共7层),61.08㎡,平层,54.14㎡,板楼,南,钢混结构,精装,一梯四户,暂无数据,70年,2018/3/10,商品房,2007/3/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
晓庄国际广场,栖霞,270,31193元/平米,2室1厅1厨1卫,中楼层 (共29层),86.56㎡,平层,64.14㎡,板楼,南,钢混结构,其他,两梯五户,有,70年,2018/2/25,商品房,2013/7/17,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
武夷绿洲赏桂苑,江宁,142,27751元/平米,2室1厅1厨1卫,低楼层 (共16层),51.17㎡,平层,41.43㎡,板楼,北,钢混结构,精装,两梯七户,有,70年,2017/9/30,商品房,2015/1/6,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,
梅花山庄丽景苑,秦淮,375,36058元/平米,3室2厅1厨2卫,低楼层 (共7层),104㎡,暂无数据,93.9㎡,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2016/11/14,商品房,2000/6/9,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,
中航樾府,江宁,305,35715元/平米,3室2厅1厨1卫,中楼层 (共22层),85.4㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,两梯五户,有,70年,2018/1/1,商品房,2017/1/13,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
名嘉佳园小区,江宁,351,26012元/平米,3室2厅1厨2卫,中楼层 (共10层),134.94㎡,平层,115.11㎡,板楼,南 北,砖混结构,其他,一梯两户,有,70年,2018/3/2,商品房,2009/7/8,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
华汇康城,江宁,295,19774元/平米,4室2厅1厨2卫,高楼层 (共11层),149.19㎡,暂无数据,123.72㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2017/4/17,商品房,2010/5/27,普通住宅,满五年,非共有,"
                                有抵押 25万元 客户偿还
                              ",已上传房本照片,,,
弘阳旭日上城二区,浦口,440,22716元/平米,4室2厅1厨3卫,高楼层 (共31层),193.7㎡,暂无数据,170㎡,塔楼,南 北,钢混结构,毛坯,三梯两户,有,70年,2017/12/14,商品房,2017/3/20,普通住宅,未满两年,非共有,"
                                有抵押 120万元
                              ",已上传房本照片,,,
弓箭坊小区,秦淮,245,29770元/平米,2室1厅1厨1卫,低楼层 (共30层),82.3㎡,平层,暂无数据,塔楼,西南,钢混结构,其他,两梯八户,有,70年,2018/2/24,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
凤凰西街188号,鼓楼,190,29276元/平米,2室1厅1厨1卫,高楼层 (共7层),64.9㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯一户,暂无数据,70年,2017/8/20,动迁安置房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
颐秀居,江宁,410,29089元/平米,3室2厅1厨2卫,低楼层 (共11层),140.95㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/5/28,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
月安花园歌月居,建邺,660,38100元/平米,5室2厅1厨2卫,高楼层 (共6层),173.23㎡,跃层,155.56㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/12/19,商品房,2013/2/7,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
汉北街8号,鼓楼,265,37841元/平米,3室1厅1厨1卫,中楼层 (共4层),70.03㎡,暂无数据,61.47㎡,板楼,南,砖混结构,其他,一梯六户,暂无数据,70年,2017/9/10,房改房,2015/2/4,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
华阳佳园华彩苑,鼓楼,242,38129元/平米,2室1厅1厨1卫,高楼层 (共7层),63.47㎡,平层,54.92㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/12/8,房改房,2011/4/18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
南湾营文康苑,栖霞,150,17544元/平米,3室2厅1厨2卫,高楼层 (共5层),85.5㎡,暂无数据,74.91㎡,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/4,商品房,2016/12/26,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
盈家春天,江宁,460,25843元/平米,5室2厅1厨2卫,高楼层 (共6层),178㎡,跃层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/3,商品房,2011/8/24,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
拓园,建邺,195,27578元/平米,3室1厅1厨1卫,高楼层 (共6层),70.71㎡,平层,61.83㎡,板楼,南 北,钢混结构,其他,一梯三户,暂无数据,70年,2018/3/5,房改房,2004/2/17,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
典雅居,建邺,520,36974元/平米,3室2厅1厨2卫,中楼层 (共10层),140.64㎡,平层,122.59㎡,板塔结合,南,钢混结构,其他,一梯四户,有,70年,2018/1/17,商品房,2002/8/22,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
水月秦淮,江宁,385,29291元/平米,3室2厅1厨2卫,低楼层 (共19层),131.44㎡,平层,110.24㎡,塔楼,南 北,钢混结构,其他,两梯四户,有,70年,2018/3/11,商品房,2013/9/29,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中国人家,江宁,695,34523元/平米,5室3厅1厨3卫,低楼层 (共3层),201.32㎡,暂无数据,南 北,钢混结构,精装,独栋,70年,null,null,null,2017/3/17,商品房,2002/2/20,别墅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,
东郊小镇第三街区,江宁,210,15673元/平米,4室2厅1厨2卫,高楼层 (共6层),133.99㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2016/8/7,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 20万元 客户偿还
                              ",未上传房本照片,,,
玻纤院,雨花台,185,23816元/平米,3室1厅1厨1卫,高楼层 (共6层),77.68㎡,暂无数据,67.02㎡,板楼,南,钢混结构,简装,一梯两户,暂无数据,70年,2017/6/5,房改房,1995/4/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
东郊小镇第五街区,江宁,146,21371元/平米,2室1厅1厨1卫,中楼层 (共16层),68.32㎡,暂无数据,50.55㎡,板楼,南,钢混结构,其他,两梯十户,有,70年,2018/3/17,商品房,2015/8/17,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第三街区,浦口,285,19394元/平米,4室2厅1厨2卫,高楼层 (共11层),146.96㎡,跃层,127.1㎡,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2017/11/3,商品房,2007/7/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
金基汇锦国际凌江府,建邺,378,64561元/平米,2室2厅1厨2卫,高楼层 (共12层),58.55㎡,跃层,43.32㎡,板楼,南,钢混结构,精装,两梯七户,有,70年,2018/1/8,商品房,2014/5/26,普通住宅,满两年,非共有,"
                                有抵押 60万元 工商银行股份有限公司城西支行抵押60万  业主自还
                              ",已上传房本照片,,,
桃园居,建邺,147,33034元/平米,1室1厅1厨1卫,低楼层 (共6层),44.5㎡,暂无数据,38.57㎡,板塔结合,南 西,钢混结构,其他,一梯两户,暂无数据,70年,2017/9/13,商品房,2008/5/4,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中航樾府,江宁,380,35320元/平米,3室2厅1厨3卫,中楼层 (共14层),107.59㎡,跃层,92㎡,板楼,南,钢混结构,精装,一梯六户,暂无数据,70年,2017/10/23,商品房,2017/5/5,普通住宅,未满两年,共有,"
                                有抵押 110万元 招商银行股份有限公司南京分行 客户偿还
                              ",已上传房本照片,,,
南方花园瑞阳居,江宁,110,25463元/平米,1室1厅1厨1卫,高楼层 (共10层),43.2㎡,平层,暂无数据,塔楼,东,钢混结构,其他,两梯四十户,有,70年,2017/10/3,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
瑞金新村,秦淮,176,35904元/平米,2室1厅1厨1卫,高楼层 (共5层),49.02㎡,暂无数据,42.21㎡,板塔结合,南 北,砖混结构,其他,一梯五户,暂无数据,70年,2018/1/10,房改房,2002/10/22,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中北品尚,建邺,325,46509元/平米,2室1厅1厨1卫,中楼层 (共18层),69.88㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,70年,2018/3/4,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
梅花山庄南华苑,秦淮,498,34950元/平米,3室2厅1厨2卫,低楼层 (共9层),142.49㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,有,70年,2017/3/26,商品房,1999/4/29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
托乐嘉单身公寓,江宁,130,24692元/平米,1室1厅1厨1卫,高楼层 (共11层),52.65㎡,平层,37.17㎡,塔楼,南,钢混结构,其他,一梯二十七户,有,70年,2018/3/17,商品房,2015/7/14,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
亚都天元居,江宁,395,31442元/平米,4室2厅1厨2卫,高楼层 (共11层),125.63㎡,暂无数据,105.23㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/2/25,商品房,2010/11/5,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
武夷绿洲观竹苑,江宁,235,28789元/平米,2室1厅1厨1卫,高楼层 (共6层),81.63㎡,平层,71.08㎡,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/4,商品房,2016/3/31,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
银城一方山,江宁,232,26150元/平米,4室2厅1厨1卫,中楼层 (共10层),88.72㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯八户,有,70年,2017/7/29,商品房,2017/6/16,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
武夷花园,江宁,360,29552元/平米,3室2厅1厨2卫,低楼层 (共3层),121.82㎡,平层,110.5㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/24,商品房,2015/4/8,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
麒麟山庄,江宁,379,18462元/平米,4室3厅1厨3卫,高楼层 (共11层),205.29㎡,平层,167.8㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/1/4,商品房,2011/10/24,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
凯润金城,玄武,340,45099元/平米,2室1厅1厨1卫,中楼层 (共27层),75.39㎡,暂无数据,57.14㎡,塔楼,西南,钢混结构,其他,两梯二十四户,有,70年,2017/11/5,商品房,2014/8/12,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
世纪东山,江宁,300,23624元/平米,3室2厅1厨2卫,高楼层 (共11层),126.99㎡,暂无数据,105.46㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017/6/26,商品房,2009/10/12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
苏州路,鼓楼,358,57649元/平米,2室1厅1厨1卫,高楼层 (共7层),62.1㎡,平层,57.6㎡,板楼,南,砖混结构,其他,一梯三户,暂无数据,70年,2017/12/24,商品房,2014/3/10,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
阳光帝景,浦口,330,23240元/平米,3室2厅1厨2卫,低楼层 (共18层),142㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,其他,两梯三户,有,70年,2017/2/25,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
金轮新都汇,江宁,166,27681元/平米,1室1厅1厨1卫,中楼层 (共15层),59.97㎡,平层,45.72㎡,塔楼,东,钢混结构,简装,两梯二十九户,有,70年,2017/10/12,商品房,2014/5/28,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
商会大厦黄金楼,鼓楼,350,23155元/平米,3室2厅1厨2卫,高楼层 (共25层),151.16㎡,暂无数据,125.08㎡,板塔结合,东,钢混结构,简装,两梯四户,有,70年,2017/12/13,商品房,2004/3/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
彩虹苑,建邺,285,31600元/平米,3室2厅1厨1卫,高楼层 (共7层),90.19㎡,跃层,82.1㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017/3/6,商品房,2003/5/28,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
银城东苑望山苑,玄武,485,39000元/平米,3室2厅1厨2卫,低楼层 (共16层),124.36㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,有,70年,2017/11/28,商品房,2012/1/20,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
太平桥南,玄武,250,48217元/平米,2室1厅1厨1卫,低楼层 (共7层),51.85㎡,平层,41.96㎡,板楼,南 北,钢混结构,其他,一梯四户,暂无数据,70年,2016/12/22,房改房,2015/6/21,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
宁夏路,鼓楼,280,55622元/平米,2室1厅1厨1卫,低楼层 (共4层),50.34㎡,暂无数据,45.42㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/18,商品房,2011/3/18,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
城开家园,秦淮,450,34381元/平米,3室1厅1厨2卫,高楼层 (共9层),130.89㎡,平层,111.09㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2017/3/22,商品房,2004/5/1,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
南方花园枫彩园,江宁,265,26189元/平米,2室2厅1厨1卫,中楼层 (共16层),101.19㎡,平层,84.41㎡,板楼,南 北,钢混结构,其他,两梯两户,有,70年,2017/11/19,商品房,2015/3/11,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天印花园,江宁,218,28836元/平米,2室1厅1厨1卫,低楼层 (共6层),75.6㎡,暂无数据,65.8㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/5/26,商品房,2003/8/11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
金地自在城第一街区,雨花台,485,20169元/平米,5室2厅1厨2卫,中楼层 (共5层),240.47㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/12,商品房,2013/6/5,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
长乐路,秦淮,170,33564元/平米,2室1厅1厨1卫,低楼层 (共6层),50.65㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/11/29,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
龙湖文馨苑,江宁,420,21875元/平米,6室2厅1厨3卫,高楼层 (共11层),192㎡,跃层,169.6㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2018/3/11,商品房,2010/1/5,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,
东郊小镇第四街区,江宁,420,31091元/平米,6室2厅1厨3卫,低楼层 (共3层),135.09㎡,128.92㎡,南 北,钢混结构,其他,联排,70年,null,null,null,2017/8/26,商品房,2010/10/19,别墅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
光夏新村,鼓楼,152,27707元/平米,2室1厅1厨1卫,高楼层 (共6层),54.86㎡,平层,49.83㎡,板楼,东,砖混结构,其他,一梯两户,暂无数据,70年,2018/3/14,房改房,2010/3/17,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中粮彩云居,江宁,108,29166元/平米,1室0厅1厨1卫,高楼层 (共6层),37.03㎡,暂无数据,暂无数据,板楼,东,钢混结构,其他,一梯四十四户,暂无数据,70年,2017/6/9,商品房,2013/9/11,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
同曦国际广场,江宁,405,29524元/平米,3室2厅1厨2卫,中楼层 (共28层),137.18㎡,平层,106.49㎡,板塔结合,南,钢混结构,其他,两梯三户,有,70年,2017/6/28,商品房,2012/11/29,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
明发滨江新城二期,浦口,140,22379元/平米,2室1厅1厨1卫,低楼层 (共27层),62.56㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,三梯三十户,有,70年,2017/12/11,商品房,2010/12/28,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
腾飞园,鼓楼,315,38952元/平米,3室1厅1厨1卫,低楼层 (共6层),80.87㎡,平层,80㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017/10/23,房改房,2004/7/22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
九莲塘,秦淮,248,31690元/平米,3室1厅1厨1卫,高楼层 (共7层),78.26㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/11/26,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
佛心桥,玄武,260,35764元/平米,2室2厅1厨1卫,中楼层 (共7层),72.7㎡,暂无数据,64.97㎡,板楼,东 南 北,钢混结构,其他,一梯四户,暂无数据,70年,2018/3/18,房改房,2009/8/3,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中海国际社区,江宁,310,26610元/平米,3室2厅1厨1卫,低楼层 (共32层),116.5㎡,平层,86.55㎡,板塔结合,南,钢混结构,其他,一梯两户,有,70年,2018/2/5,商品房,2018/3/29,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
翠屏湾花园城,江宁,249,20865元/平米,3室2厅1厨2卫,低楼层 (共6层),119.34㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/3/9,商品房,2010/3/12,普通住宅,满五年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片,,,
东郊小镇第三街区,江宁,181,20096元/平米,3室2厅1厨1卫,中楼层 (共6层),90.07㎡,暂无数据,79.02㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/9/9,商品房,2009/5/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
双龙苑,江宁,268,30445元/平米,3室2厅1厨1卫,低楼层 (共6层),88.03㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/5/3,商品房,2012/6/7,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,,,
东郊小镇第八街区,江宁,380,31258元/平米,4室2厅1厨2卫,中楼层 (共4层),121.57㎡,跃层,77.79㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/10/20,商品房,2014/10/22,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,
江苏农科院住宅小区,玄武,250,33427元/平米,2室2厅1厨1卫,中楼层 (共4层),74.79㎡,平层,65.87㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2018/2/7,商品房,2016/5/12,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
香缇丽舍,建邺,355,35787元/平米,2室2厅1厨1卫,中楼层 (共18层),99.2㎡,平层,76.61㎡,板塔结合,南 北,钢混结构,其他,两梯两户,有,70年,2018/3/12,商品房,2007/4/19,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
中南世纪雅苑,栖霞,228,25524元/平米,3室2厅1厨1卫,低楼层 (共31层),89.33㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,一梯四户,暂无数据,70年,2017/7/26,商品房,2017/7/5,普通住宅,未满两年,共有,"
                                有抵押 66万元 招商银行 客户偿还
                              ",已上传房本照片,,,
康居里,秦淮,178,27606元/平米,2室1厅1厨1卫,低楼层 (共7层),64.48㎡,平层,1㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2018/1/25,房改房,2011/5/9,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
南理工西园小区,玄武,300,45802元/平米,3室1厅1厨1卫,低楼层 (共6层),65.5㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/18,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
裕德里小区,玄武,275,32434元/平米,4室1厅1厨1卫,高楼层 (共6层),84.79㎡,跃层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/3/7,房改房,1990/5/8,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天坛新村,秦淮,175,26808元/平米,2室2厅1厨1卫,低楼层 (共7层),65.28㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯三户,有,70年,2017/11/12,经济适用房,2005/6/16,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
摄山星城步青苑,栖霞,130,19857元/平米,2室1厅1厨1卫,中楼层 (共7层),65.47㎡,平层,55.62㎡,板塔结合,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/6/11,商品房,2016/3/17,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
