小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
安如村,建邺,230,30034元/平米,2室1厅1厨1卫,高楼层 (共7层),76.58㎡,平层,66.98㎡,板楼,东 南 北,钢混结构,精装,一梯四户,暂无数据,70年,2017/12/19,房改房,2002/10/30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
营苑西村,玄武,175,25869元/平米,2室2厅1厨1卫,低楼层 (共7层),67.65㎡,暂无数据,67.65㎡,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/4/13,房改房,2017/7/31,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
丹佛小镇,江宁,152,34181元/平米,1室1厅1厨2卫,高楼层 (共9层),44.47㎡,跃层,32.56㎡,板楼,东,钢混结构,其他,两梯二十八户,有,70年,2018/2/24,商品房,2016/2/5,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
后宰门西村,玄武,205,28025元/平米,3室1厅1厨1卫,高楼层 (共6层),73.15㎡,平层,64.49㎡,板楼,南 北,钢混结构,其他,一梯三户,暂无数据,70年,2018/1/23,商品房,2016/3/11,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
托乐嘉单身公寓,江宁,95,28815元/平米,1室0厅1厨1卫,低楼层 (共11层),32.97㎡,平层,暂无数据,塔楼,东,钢混结构,简装,一梯二十四户,有,70年,2017/4/26,商品房,2014/8/21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
贡园,建邺,260,33075元/平米,3室1厅1厨1卫,中楼层 (共7层),78.61㎡,平层,68.74㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2018/3/18,房改房,2001/12/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
钟山晶典苑,栖霞,306,28144元/平米,3室2厅1厨1卫,中楼层 (共16层),108.73㎡,平层,84.29㎡,板塔结合,南 北,钢混结构,简装,两梯两户,有,70年,2018/3/5,商品房,2010/6/29,普通住宅,满五年,共有,"
                                有抵押 40万元
                              ",已上传房本照片,,,
福园,建邺,180,30401元/平米,2室1厅1厨1卫,中楼层 (共7层),59.21㎡,平层,51.92㎡,板楼,西北,砖混结构,其他,一梯四户,暂无数据,70年,2017/12/3,房改房,2015/11/23,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
赞成领尚,秦淮,110,26247元/平米,1室0厅1厨1卫,低楼层 (共25层),41.91㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,两梯十八户,有,65年,2017/10/19,商品房,2013/5/13,酒店式公寓,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
双龙巷,玄武,148,29418元/平米,2室1厅1厨1卫,高楼层 (共7层),50.31㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯两户,暂无数据,70年,2017/4/14,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
旭光里,秦淮,212,30526元/平米,2室2厅1厨1卫,中楼层 (共6层),69.45㎡,平层,暂无数据,板塔结合,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2018/1/1,商品房,2002/7/1,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
健园,建邺,185,30423元/平米,2室1厅1厨1卫,中楼层 (共6层),60.81㎡,平层,52.26㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2018/3/12,商品房,2010/10/27,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
奥克斯钟山府,玄武,340,38501元/平米,3室2厅1厨1卫,中楼层 (共11层),88.31㎡,平层,72.53㎡,塔楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/1/23,商品房,2018/2/6,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
大华锦绣华城香榭美颂,浦口,225,25149元/平米,2室2厅1厨2卫,中楼层 (共18层),89.47㎡,暂无数据,71.17㎡,板楼,南,钢混结构,精装,两梯三户,有,70年,2017/9/5,商品房,2011/7/29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
润富花园,浦口,210,16478元/平米,3室1厅1厨2卫,高楼层 (共6层),127.45㎡,暂无数据,100.26㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/1/12,商品房,2007/8/29,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
地和苑,浦口,215,21619元/平米,2室2厅1厨1卫,中楼层 (共11层),99.45㎡,平层,85.47㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/1/3,商品房,2015/10/13,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中海万锦熙岸一期,浦口,225,23685元/平米,3室2厅1厨1卫,低楼层 (共26层),95㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2016/10/11,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
天悦花园,栖霞,245,30424元/平米,2室1厅1厨1卫,中楼层 (共6层),80.53㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/5/10,商品房,2003/7/11,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
名嘉佳园小区,江宁,320,25782元/平米,3室2厅1厨2卫,低楼层 (共11层),124.12㎡,暂无数据,107.13㎡,板楼,南 西 北,砖混结构,简装,一梯两户,有,70年,2018/3/15,商品房,2010/4/13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
威尼斯水城第十二街区,浦口,243,19459元/平米,3室1厅1厨2卫,低楼层 (共33层),124.88㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,70年,2017/10/16,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片,,,
樱驼花园承乐园,玄武,258,31047元/平米,4室2厅1厨1卫,高楼层 (共6层),83.1㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯两户,暂无数据,70年,2017/2/23,商品房,2000/11/16,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
龙湖春江紫宸,鼓楼,160,34210元/平米,1室2厅1厨1卫,低楼层 (共33层),46.77㎡,平层,46.77㎡,板塔结合,南,钢混结构,其他,一梯四户,暂无数据,65年,2017/11/11,商品房,2017/10/25,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
佳盛花园,鼓楼,258,30902元/平米,2室1厅1厨1卫,中楼层 (共7层),83.49㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/10/14,商品房,2013/9/5,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
太平商贸中心,江宁,92,27035元/平米,1室1厅1厨1卫,高楼层 (共6层),34.03㎡,平层,23.73㎡,板楼,南,钢混结构,其他,一梯二十三户,暂无数据,70年,2018/1/17,房改房,2016/10/13,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
琥珀森林一期,雨花台,290,30701元/平米,2室1厅1厨1卫,低楼层 (共18层),94.46㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯三户,有,70年,2018/1/19,商品房,2015/4/10,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
高教新村,鼓楼,280,35889元/平米,2室1厅1厨1卫,低楼层 (共28层),78.02㎡,暂无数据,60㎡,塔楼,南,钢混结构,其他,两梯八户,有,70年,2017/8/9,房改房,2002/1/1,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
中海塞纳丽舍西苑,建邺,575,61828元/平米,2室2厅1厨1卫,中楼层 (共11层),93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2018/2/23,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 30万元 公积金30万 客户偿还
                              ",未上传房本照片,,,
花园路19号,玄武,130,26689元/平米,2室1厅1厨1卫,中楼层 (共7层),48.71㎡,平层,41.46㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2018/2/2,房改房,2009/3/17,普通住宅,满五年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,
西柏果园58号,鼓楼,172,34148元/平米,2室0厅1厨1卫,高楼层 (共5层),50.37㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯三户,暂无数据,70年,2018/2/23,房改房,2017/4/24,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
弘阳旭日上城三区,浦口,285,26475元/平米,3室2厅1厨1卫,中楼层 (共31层),107.65㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯三户,有,70年,2018/3/17,商品房,2017/12/1,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
瑞金新村,秦淮,300,33979元/平米,4室0厅1厨1卫,中楼层 (共6层),88.29㎡,暂无数据,80㎡,板塔结合,南,砖混结构,精装,一梯四户,暂无数据,70年,2017/4/23,房改房,1979/12/19,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
